Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Liste des ZNE,,,
,,,
,METROPOLE,,
,,,
CHEFLIEU ZNE,Code INSEE ZNE,Nro Département,Nom Département
ABBEVILLE,80001,80,SOMME
AGEN,47001,47,LOT ET GARONNE
AIGLE,61214,61,ORNE
AIX-EN-PROVENCE,13001,13,BOUCHES DU RHONE
AIX-LES-BAINS,73008,73,SAVOIE
ALBERT,80016,80,SOMME
ALBERTVILLE,73011,73,SAVOIE
ALBI,81004,81,TARN
ALENCON,61001,61,ORNE
ALES,30007,30,GARD
ALTKIRCH,68004,68,HAUT RHIN
AMBERIEU-EN-BUGEY,1004,1,AIN
AMBERT,63003,63,PUY DE DOME
AMBOISE,37003,37,INDRE ET LOIRE
AMIENS,80021,80,SOMME
ANCENIS,44003,44,LOIRE ATLANTIQUE
ANDERNOS-LES-BAINS,33005,33,GIRONDE
ANGERS,49007,49,MAINE ET LOIRE
ANGOULEME,16015,16,CHARENTE
ANNECY,74010,74,HAUTE SAVOIE
ANNEMASSE,74012,74,HAUTE SAVOIE
ANNONAY,7010,7,ARDECHE
ARBOIS,39013,39,JURA
ARCACHON,33009,33,GIRONDE
ARCIS-SUR-AUBE,10006,10,AUBE
ARGENTAN,61006,61,ORNE
ARGENTAT,19010,19,CORREZE
ARLES,13004,13,BOUCHES DU RHONE
ARPAJON,91021,91,ESSONNE
ARRAS,62041,62,PAS DE CALAIS
AUBAGNE,13005,13,BOUCHES DU RHONE
AUBENAS,7019,7,ARDECHE
AUBIGNY-SUR-NERE,18015,18,CHER
AUBUSSON,23008,23,CREUSE
AUCH,32013,32,GERS
AURAY,56007,56,MORBIHAN
AURILLAC,15014,15,CANTAL
AUTUN,71014,71,SAONE ET LOIRE
AUXERRE,89024,89,YONNE
AVIGNON,84007,84,VAUCLUSE
AVRANCHES,50025,50,MANCHE
BAGNOLS-SUR-CEZE,30028,30,GARD
BARBEZIEUX-SAINT-HILAIRE,16028,16,CHARENTE
BAR-LE-DUC,55029,55,MEUSE
BAR-SUR-AUBE,10033,10,AUBE
BAR-SUR-SEINE,10034,10,AUBE
BAUGE,49018,49,MAINE ET LOIRE
BAYEUX,14047,14,CALVADOS
BAYONNE,64102,64,PYRENEES ATLANTIQUES
BAZAS,33036,33,GIRONDE
BEAUMONT-SUR-OISE,95052,95,VAL D'OISE
BEAUMONT-SUR-SARTHE,72029,72,SARTHE
BEAUNE,21054,21,COTE D'OR
BEAUVAIS,60057,60,OISE
BEDARIEUX,34028,34,HERAULT
BELFORT,90010,90,TERR. DE BELFORT
BELLAC,87011,87,HAUTE VIENNE
BELLEGARDE-SUR-VALSERINE,1033,1,AIN
BELLEY,1034,1,AIN
BERGERAC,24037,24,DORDOGNE
BERNAY,27056,27,EURE
BESANCON,25056,25,DOUBS
BETHUNE,62119,62,PAS DE CALAIS
BEZIERS,34032,34,HERAULT
BLAIN,44015,44,LOIRE ATLANTIQUE
BLANC,36018,36,INDRE
BLAYE,33058,33,GIRONDE
BLOIS,41018,41,LOIR ET CHER
BOBIGNY,93008,93,SEINE SAINT DENIS
BOISSY-SAINT-LEGER,94004,94,VAL DE MARNE
BOLBEC,76114,76,SEINE MARITIME
BORDEAUX,33063,33,GIRONDE
BOULOGNE-BILLANCOURT,92012,92,HAUTS DE SEINE
BOURBON-L'ARCHAMBAULT,3036,3,ALLIER
BOURBOULE,63047,63,PUY DE DOME
BOURGANEUF,23030,23,CREUSE
BOURG-D'OISANS,38052,38,ISERE
BOURG-EN-BRESSE,1053,1,AIN
BOURGES,18033,18,CHER
BOURGOIN-JALLIEU,38053,38,ISERE
BOUSSAC,23031,23,CREUSE
BRESSUIRE,79049,79,DEUX SEVRES
BREST,29019,29,FINISTERE
BRIE-COMTE-ROBERT,77053,77,SEINE ET MARNE
BRIEY,54099,54,MEURTHE ET MOSELLE
BRIGNOLES,83023,83,VAR
